,name,url
129,Night Shift Brewing - Lovejoy Wharf,https://www.yelp.com/biz/night-shift-brewing-lovejoy-wharf-boston-3
130,Mana Escondido Café,https://www.yelp.com/biz/mana-escondido-caf%C3%A9-boston-5
131,Santouka Back Bay,https://www.yelp.com/biz/santouka-back-bay-boston-2
132,State Street Provisions,https://www.yelp.com/biz/state-street-provisions-boston
133,El Pelón Taquería,https://www.yelp.com/biz/el-pel%C3%B3n-taquer%C3%ADa-boston-3
134,Bar Mercato,https://www.yelp.com/biz/bar-mercato-boston
135,Nautilus Pier 4,https://www.yelp.com/biz/nautilus-pier-4-boston
136,Basile - Fine Italian Kitchen,https://www.yelp.com/biz/basile-fine-italian-kitchen-boston
137,Koy,https://www.yelp.com/biz/koy-boston
138,Marliave,https://www.yelp.com/biz/marliave-boston
139,Banyan Bar + Refuge,https://www.yelp.com/biz/banyan-bar-refuge-boston-3
140,Flour Bakery + Café,https://www.yelp.com/biz/flour-bakery-caf%C3%A9-boston-4
141,Mae Asian Eatery,https://www.yelp.com/biz/mae-asian-eatery-cambridge-2
142,Phinista,https://www.yelp.com/biz/phinista-boston
143,Chinatown Cafe,https://www.yelp.com/biz/chinatown-cafe-boston
144,Galleria Umberto,https://www.yelp.com/biz/galleria-umberto-boston
145,Lolita Cocina & Tequila Bar Back Bay - Temp. CLOSED,https://www.yelp.com/biz/lolita-cocina-and-tequila-bar-back-bay-boston
146,Cusser’s Roast Beef and Seafood,https://www.yelp.com/biz/cussers-roast-beef-and-seafood-boston-2
147,Grotto,https://www.yelp.com/biz/grotto-boston
148,Outlook Kitchen And Bar,https://www.yelp.com/biz/outlook-kitchen-and-bar-boston
149,Pressed Cafe,https://www.yelp.com/biz/pressed-cafe-boston
150,Shabu-Zen,https://www.yelp.com/biz/shabu-zen-boston
151,No Relation,https://www.yelp.com/biz/no-relation-boston-2
152,Taqueria Jalisco,https://www.yelp.com/biz/taqueria-jalisco-boston-2
153,Al Dente Restaurant,https://www.yelp.com/biz/al-dente-restaurant-boston
154,Mahaniyom,https://www.yelp.com/biz/mahaniyom-brookline
155,Dirty Water Dough,https://www.yelp.com/biz/dirty-water-dough-boston-6
156,Precinct Kitchen + Bar,https://www.yelp.com/biz/precinct-kitchen-bar-boston
157,"MOOYAH Burgers, Fries & Shakes",https://www.yelp.com/biz/mooyah-burgers-fries-and-shakes-boston-5
158,Tsurutontan Udon Noodle Brasserie - Boston,https://www.yelp.com/biz/tsurutontan-udon-noodle-brasserie-boston-boston-2
159,Frenchie Wine Bistro,https://www.yelp.com/biz/frenchie-wine-bistro-boston
160,The Dial at 907 Main,https://www.yelp.com/biz/the-dial-at-907-main-cambridge
161,Table,https://www.yelp.com/biz/table-boston
162,Trattoria Il Panino,https://www.yelp.com/biz/trattoria-il-panino-boston
163,Dolphin Bay,https://www.yelp.com/biz/dolphin-bay-boston
164,Flour Bakery + Café,https://www.yelp.com/biz/flour-bakery-caf%C3%A9-boston-5
165,Branch Line,https://www.yelp.com/biz/branch-line-watertown
166,Orinoco,https://www.yelp.com/biz/orinoco-boston
167,The Old Havana,https://www.yelp.com/biz/the-old-havana-jamaica-plain
168,Dryft,https://www.yelp.com/biz/dryft-revere
169,Bricco,https://www.yelp.com/biz/bricco-boston-6
170,Fogo de Chão,https://www.yelp.com/biz/fogo-de-ch%C3%A3o-boston-4
171,Saus,https://www.yelp.com/biz/saus-boston
172,Six West,https://www.yelp.com/biz/six-west-boston
173,Seoul Jangteo,https://www.yelp.com/biz/seoul-jangteo-boston-3
174,Chilacates Mexican Street Food,https://www.yelp.com/biz/chilacates-mexican-street-food-jamaica-plain
175,CAVA,https://www.yelp.com/biz/cava-boston-10
176,Kala Thai Cookery,https://www.yelp.com/biz/kala-thai-cookery-boston
177,Delux Café,https://www.yelp.com/biz/delux-caf%C3%A9-boston-2
178,Jamaica Mi Hungry,https://www.yelp.com/biz/jamaica-mi-hungry-boston
179,Tatte Bakery & Cafe,https://www.yelp.com/biz/tatte-bakery-and-cafe-boston
180,Billy’s Sub Shop,https://www.yelp.com/biz/billys-sub-shop-boston
181,Ghost King Thai,https://www.yelp.com/biz/ghost-king-thai-boston
182,Monica’s Mercato,https://www.yelp.com/biz/monicas-mercato-boston-3
183,Cafe Polonia,https://www.yelp.com/biz/cafe-polonia-south-boston
184,Gaga Seafood Restaurant,https://www.yelp.com/biz/gaga-seafood-restaurant-boston
185,Friendship BBQ,https://www.yelp.com/biz/friendship-bbq-boston-4
186,Boston Chops South End,https://www.yelp.com/biz/boston-chops-south-end-boston
187,Fat Baby,https://www.yelp.com/biz/fat-baby-boston-2
188,Eddie V’s Prime Seafood,https://www.yelp.com/biz/eddie-vs-prime-seafood-boston-2
189,The Haven,https://www.yelp.com/biz/the-haven-jamaica-plain
