,name,url
153,The Bar-B-Q Shop,https://www.yelp.com/biz/the-bar-b-q-shop-memphis-6
154,Fino’s from the Hill,https://www.yelp.com/biz/finos-from-the-hill-memphis-2
155,Napa Cafe,https://www.yelp.com/biz/napa-cafe-memphis
156,McEwen’s Memphis - Temp. CLOSED,https://www.yelp.com/biz/mcewens-memphis-memphis
157,Tropical Smoothie Cafe - Opening Soon,https://www.yelp.com/biz/tropical-smoothie-cafe-opening-soon-memphis-2
158,DeeO’s Seafood,https://www.yelp.com/biz/deeos-seafood-memphis-2
159,Pho Saigon,https://www.yelp.com/biz/pho-saigon-memphis
160,Edge Alley,https://www.yelp.com/biz/edge-alley-memphis-2
161,The Vault,https://www.yelp.com/biz/the-vault-memphis-6
162,Cafe Olé,https://www.yelp.com/biz/cafe-ol%C3%A9-memphis-3
163,Mortimer’s Restaurant,https://www.yelp.com/biz/mortimers-restaurant-memphis
164,Ubee’s,https://www.yelp.com/biz/ubees-memphis
165,Suga Shack,https://www.yelp.com/biz/suga-shack-memphis
166,Bardog Tavern,https://www.yelp.com/biz/bardog-tavern-memphis
167,Abyssinia Ethiopian Restaurant,https://www.yelp.com/biz/abyssinia-ethiopian-restaurant-memphis-3
168,Buckley’s Restaurant East,https://www.yelp.com/biz/buckleys-restaurant-east-memphis
169,Bluff City Coffee,https://www.yelp.com/biz/bluff-city-coffee-memphis-2
170,Elena’s Taco Shop,https://www.yelp.com/biz/elenas-taco-shop-memphis
171,The Backlot Sandwich Shop,https://www.yelp.com/biz/the-backlot-sandwich-shop-memphis
172,Cheffie’s Cafe,https://www.yelp.com/biz/cheffies-cafe-memphis
173,Pontotoc,https://www.yelp.com/biz/pontotoc-memphis
174,Mulan Asian Bistro,https://www.yelp.com/biz/mulan-asian-bistro-memphis
175,Garibaldi’s Pizza,https://www.yelp.com/biz/garibaldis-pizza-memphis-2
176,Caritas Village,https://www.yelp.com/biz/caritas-village-memphis
177,River Oaks Restaurant,https://www.yelp.com/biz/river-oaks-restaurant-memphis
178,Coletta’s Italian Restaurant,https://www.yelp.com/biz/colettas-italian-restaurant-memphis
179,Carolina Watershed Memphis,https://www.yelp.com/biz/carolina-watershed-memphis-memphis
180,Celtic Crossing Irish Pub & Restaurant,https://www.yelp.com/biz/celtic-crossing-irish-pub-and-restaurant-memphis
181,Ruth’s Chris Steak House,https://www.yelp.com/biz/ruths-chris-steak-house-memphis
182,Paulette’s Restaurant,https://www.yelp.com/biz/paulettes-restaurant-memphis
183,Agavos Cocina & Tequila,https://www.yelp.com/biz/agavos-cocina-and-tequila-memphis
184,Southall Cafe,https://www.yelp.com/biz/southall-cafe-memphis-3
185,South Memphis Grocery,https://www.yelp.com/biz/south-memphis-grocery-memphis
186,Loflin Yard,https://www.yelp.com/biz/loflin-yard-memphis
187,Cocina Mexicana,https://www.yelp.com/biz/cocina-mexicana-memphis
188,Raw Girls,https://www.yelp.com/biz/raw-girls-memphis-3
189,Texas de Brazil,https://www.yelp.com/biz/texas-de-brazil-memphis-3
190,Picosos,https://www.yelp.com/biz/picosos-memphis
191,The Woman’s Exchange of Memphis - Tea Room,https://www.yelp.com/biz/the-womans-exchange-of-memphis-tea-room-memphis
192,Fleming’s Prime Steakhouse & Wine Bar,https://www.yelp.com/biz/fleming-s-prime-steakhouse-and-wine-bar-memphis
193,Willie Mae’s Southern Soul Cooking,https://www.yelp.com/biz/willie-maes-southern-soul-cooking-memphis-2
194,Marlowe’s Ribs & Restaurant,https://www.yelp.com/biz/marlowes-ribs-and-restaurant-memphis-2
195,Seasons 52,https://www.yelp.com/biz/seasons-52-memphis-3
196,Redhook Cajun Seafood & Bar,https://www.yelp.com/biz/redhook-cajun-seafood-and-bar-memphis
197,Mesquite Chop House,https://www.yelp.com/biz/mesquite-chop-house-memphis
198,Queen Of Sheba,https://www.yelp.com/biz/queen-of-sheba-memphis
199,Peggy’s Heavenly Home Cooking,https://www.yelp.com/biz/peggys-heavenly-home-cooking-memphis-3
